State,Year,Source,Total
Alabama,2010,Coal,493094.0
Alabama,2010,Geo,0.0
Alabama,2010,Hydro,8704.0
Alabama,2010,GD,176220.75
Alabama,2011,Coal,468671.0
Alabama,2011,Geo,0.0
Alabama,2011,Hydro,8884.0
Alabama,2011,GD,181923.0
Alabama,2012,Coal,488084.0
Alabama,2012,Geo,0.0
Alabama,2012,Hydro,7435.0
Alabama,2012,GD,187283.25
Alabama,2013,Coal,469162.0
Alabama,2013,Geo,0.0
Alabama,2013,Hydro,12899.0
Alabama,2013,GD,191605.25
Alabama,2014,Coal,414366.0
Alabama,2014,Geo,0.0
Alabama,2014,Hydro,9467.0
Alabama,2014,GD,197534.5
Alaska,2010,Coal,33556.0
Alaska,2010,Geo,0.0
Alaska,2010,Hydro,1433.0
Alaska,2010,GD,54220.0
Alaska,2011,Coal,33524.0
Alaska,2011,Geo,0.0
Alaska,2011,Hydro,1345.0
Alaska,2011,GD,59318.25
Alaska,2012,Coal,31332.0
Alaska,2012,Geo,0.0
Alaska,2012,Hydro,1575.0
Alaska,2012,GD,61613.5
Alaska,2013,Coal,24917.0
Alaska,2013,Geo,0.0
Alaska,2013,Hydro,1435.0
Alaska,2013,GD,59890.75
Alaska,2014,Coal,22944.0
Alaska,2014,Geo,0.0
Alaska,2014,Hydro,1539.0
Alaska,2014,GD,58066.75
Arizona,2010,Coal,167930.0
Arizona,2010,Geo,0.0
Arizona,2010,Hydro,6622.0
Arizona,2010,GD,247333.0
Arizona,2011,Coal,174841.0
Arizona,2011,Geo,0.0
Arizona,2011,Hydro,9174.0
Arizona,2011,GD,255620.5
Arizona,2012,Coal,161374.0
Arizona,2012,Geo,0.0
Arizona,2012,Hydro,6717.0
Arizona,2012,GD,266130.75
Arizona,2013,Coal,163691.0
Arizona,2013,Geo,0.0
Arizona,2013,Hydro,5915.0
Arizona,2013,GD,271072.5
Arizona,2014,Coal,173337.0
Arizona,2014,Geo,0.0
Arizona,2014,Hydro,6118.0
Arizona,2014,GD,281558.75
Arkansas,2010,Coal,718.0
Arkansas,2010,Geo,0.0
Arkansas,2010,Hydro,3659.0
Arkansas,2010,GD,104928.75
Arkansas,2011,Coal,2985.0
Arkansas,2011,Geo,0.0
Arkansas,2011,Hydro,2958.0
Arkansas,2011,GD,109378.25
Arkansas,2012,Coal,2077.0
Arkansas,2012,Geo,0.0
Arkansas,2012,Hydro,2198.0
Arkansas,2012,GD,111541.0
Arkansas,2013,Coal,1433.0
Arkansas,2013,Geo,0.0
Arkansas,2013,Hydro,2655.0
Arkansas,2013,GD,116651.5
Arkansas,2014,Coal,1864.0
Arkansas,2014,Geo,0.0
Arkansas,2014,Hydro,2640.0
Arkansas,2014,GD,121064.75
California,2010,Coal,0.0
California,2010,Geo,12600.0
California,2010,Hydro,33431.0
California,2010,GD,1960935.0
California,2011,Coal,0.0
California,2011,Geo,12552.0
California,2011,Hydro,42557.0
California,2011,GD,2031347.75
California,2012,Coal,0.0
California,2012,Geo,12519.0
California,2012,Hydro,26837.0
California,2012,GD,2121602.25
California,2013,Coal,0.0
California,2013,Geo,12307.0
California,2013,Hydro,23755.0
California,2013,GD,2215231.5
California,2014,Coal,0.0
California,2014,Geo,12102.0
California,2014,Hydro,16531.0
California,2014,GD,2324995.5
Colorado,2010,Coal,551825.0
Colorado,2010,Geo,0.0
Colorado,2010,Hydro,1578.0
Colorado,2010,GD,258148.25
Colorado,2011,Coal,586847.0
Colorado,2011,Geo,0.0
Colorado,2011,Hydro,2083.0
Colorado,2011,GD,266796.25
Colorado,2012,Coal,629645.0
Colorado,2012,Geo,0.0
Colorado,2012,Hydro,1497.0
Colorado,2012,GD,277646.75
Colorado,2013,Coal,529096.0
Colorado,2013,Geo,0.0
Colorado,2013,Hydro,1213.0
Colorado,2013,GD,288809.0
Colorado,2014,Coal,528242.0
Colorado,2014,Geo,0.0
Colorado,2014,Hydro,1770.0
Colorado,2014,GD,305366.75
Connecticut,2010,Coal,0.0
Connecticut,2010,Geo,0.0
Connecticut,2010,Hydro,391.0
Connecticut,2010,GD,230357.25
Connecticut,2011,Coal,0.0
Connecticut,2011,Geo,0.0
Connecticut,2011,Hydro,567.0
Connecticut,2011,GD,232270.75
Connecticut,2012,Coal,0.0
Connecticut,2012,Geo,0.0
Connecticut,2012,Hydro,312.0
Connecticut,2012,GD,238322.25
Connecticut,2013,Coal,0.0
Connecticut,2013,Geo,0.0
Connecticut,2013,Hydro,402.0
Connecticut,2013,GD,242417.0
Connecticut,2014,Coal,0.0
Connecticut,2014,Geo,0.0
Connecticut,2014,Hydro,434.0
Connecticut,2014,GD,250763.75
Delaware,2010,Coal,0.0
Delaware,2010,Geo,0.0
Delaware,2010,Hydro,0.0
Delaware,2010,GD,57673.75
Delaware,2011,Coal,0.0
Delaware,2011,Geo,0.0
Delaware,2011,Hydro,0.0
Delaware,2011,GD,59763.25
Delaware,2012,Coal,0.0
Delaware,2012,Geo,0.0
Delaware,2012,Hydro,0.0
Delaware,2012,GD,60774.25
Delaware,2013,Coal,0.0
Delaware,2013,Geo,0.0
Delaware,2013,Hydro,0.0
Delaware,2013,GD,61423.75
Delaware,2014,Coal,0.0
Delaware,2014,Geo,0.0
Delaware,2014,Hydro,0.0
Delaware,2014,GD,65484.75
Florida,2010,Coal,0.0
Florida,2010,Geo,0.0
Florida,2010,Hydro,177.0
Florida,2010,GD,729761.5
Florida,2011,Coal,0.0
Florida,2011,Geo,0.0
Florida,2011,Hydro,182.0
Florida,2011,GD,735244.25
Florida,2012,Coal,0.0
Florida,2012,Geo,0.0
Florida,2012,Hydro,151.0
Florida,2012,GD,764645.5
Florida,2013,Coal,0.0
Florida,2013,Geo,0.0
Florida,2013,Hydro,254.0
Florida,2013,GD,797343.5
Florida,2014,Coal,0.0
Florida,2014,Geo,0.0
Florida,2014,Hydro,211.0
Florida,2014,GD,835578.5
Georgia,2010,Coal,0.0
Georgia,2010,Geo,0.0
Georgia,2010,Hydro,3322.0
Georgia,2010,GD,407999.0
Georgia,2011,Coal,0.0
Georgia,2011,Geo,0.0
Georgia,2011,Hydro,2705.0
Georgia,2011,GD,418916.5
Georgia,2012,Coal,0.0
Georgia,2012,Geo,0.0
Georgia,2012,Hydro,2236.0
Georgia,2012,GD,434977.75
Georgia,2013,Coal,0.0
Georgia,2013,Geo,0.0
Georgia,2013,Hydro,3714.0
Georgia,2013,GD,450933.5
Georgia,2014,Coal,0.0
Georgia,2014,Geo,0.0
Georgia,2014,Hydro,3064.0
Georgia,2014,GD,471879.5
Hawaii,2010,Coal,0.0
Hawaii,2010,Geo,201.0
Hawaii,2010,Hydro,70.0
Hawaii,2010,GD,67538.5
Hawaii,2011,Coal,0.0
Hawaii,2011,Geo,224.0
Hawaii,2011,Hydro,93.0
Hawaii,2011,GD,69689.25
Hawaii,2012,Coal,0.0
Hawaii,2012,Geo,261.0
Hawaii,2012,Hydro,115.0
Hawaii,2012,GD,72100.25
Hawaii,2013,Coal,0.0
Hawaii,2013,Geo,275.0
Hawaii,2013,Hydro,78.0
Hawaii,2013,GD,74011.75
Hawaii,2014,Coal,0.0
Hawaii,2014,Geo,254.0
Hawaii,2014,Hydro,94.0
Hawaii,2014,GD,76424.75
Idaho,2010,Coal,0.0
Idaho,2010,Geo,72.0
Idaho,2010,Hydro,9154.0
Idaho,2010,GD,55420.25
Idaho,2011,Coal,0.0
Idaho,2011,Geo,63.0
Idaho,2011,Hydro,13405.0
Idaho,2011,GD,57081.0
Idaho,2012,Coal,0.0
Idaho,2012,Geo,75.0
Idaho,2012,Hydro,10940.0
Idaho,2012,GD,58544.75
Idaho,2013,Coal,0.0
Idaho,2013,Geo,40.0
Idaho,2013,Hydro,8473.0
Idaho,2013,GD,61110.75
Idaho,2014,Coal,0.0
Idaho,2014,Geo,79.0
Idaho,2014,Hydro,9002.0
Idaho,2014,GD,63364.0
Illinois,2010,Coal,767419.0
Illinois,2010,Geo,0.0
Illinois,2010,Hydro,119.0
Illinois,2010,GD,653164.0
Illinois,2011,Coal,864228.0
Illinois,2011,Geo,0.0
Illinois,2011,Hydro,140.0
Illinois,2011,GD,679269.0
Illinois,2012,Coal,1094204.0
Illinois,2012,Geo,0.0
Illinois,2012,Hydro,111.0
Illinois,2012,GD,712604.25
Illinois,2013,Coal,1149607.0
Illinois,2013,Geo,0.0
Illinois,2013,Hydro,120.0
Illinois,2013,GD,720494.5
Illinois,2014,Coal,1293541.0
Illinois,2014,Geo,0.0
Illinois,2014,Hydro,132.0
Illinois,2014,GD,742027.75
Indiana,2010,Coal,790889.0
Indiana,2010,Geo,0.0
Indiana,2010,Hydro,454.0
Indiana,2010,GD,283111.5
Indiana,2011,Coal,840986.0
Indiana,2011,Geo,0.0
Indiana,2011,Hydro,409.0
Indiana,2011,GD,291889.75
Indiana,2012,Coal,826842.0
Indiana,2012,Geo,0.0
Indiana,2012,Hydro,434.0
Indiana,2012,GD,299906.0
Indiana,2013,Coal,883260.0
Indiana,2013,Geo,0.0
Indiana,2013,Hydro,387.0
Indiana,2013,GD,310669.25
Indiana,2014,Coal,886370.0
Indiana,2014,Geo,0.0
Indiana,2014,Hydro,371.0
Indiana,2014,GD,324289.0
Iowa,2010,Coal,0.0
Iowa,2010,Geo,0.0
Iowa,2010,Hydro,948.0
Iowa,2010,GD,141382.5
Iowa,2011,Coal,0.0
Iowa,2011,Geo,0.0
Iowa,2011,Hydro,925.0
Iowa,2011,GD,149402.0
Iowa,2012,Coal,0.0
Iowa,2012,Geo,0.0
Iowa,2012,Hydro,766.0
Iowa,2012,GD,159095.75
Iowa,2013,Coal,0.0
Iowa,2013,Geo,0.0
Iowa,2013,Hydro,749.0
Iowa,2013,GD,163495.25
Iowa,2014,Coal,0.0
Iowa,2014,Geo,0.0
Iowa,2014,Hydro,879.0
Iowa,2014,GD,170715.0
Kansas,2010,Coal,3069.0
Kansas,2010,Geo,0.0
Kansas,2010,Hydro,13.0
Kansas,2010,GD,128589.0
Kansas,2011,Coal,840.0
Kansas,2011,Geo,0.0
Kansas,2011,Hydro,15.0
Kansas,2011,GD,137654.25
Kansas,2012,Coal,388.0
Kansas,2012,Geo,0.0
Kansas,2012,Hydro,10.0
Kansas,2012,GD,141600.25
Kansas,2013,Coal,541.0
Kansas,2013,Geo,0.0
Kansas,2013,Hydro,15.0
Kansas,2013,GD,142773.5
Kansas,2014,Coal,1474.0
Kansas,2014,Geo,0.0
Kansas,2014,Hydro,16.0
Kansas,2014,GD,146562.0
Kentucky,2010,Coal,2556093.0
Kentucky,2010,Geo,0.0
Kentucky,2010,Hydro,2580.0
Kentucky,2010,GD,165787.0
Kentucky,2011,Coal,2623804.0
Kentucky,2011,Geo,0.0
Kentucky,2011,Hydro,2969.0
Kentucky,2011,GD,172255.25
Kentucky,2012,Coal,2193276.0
Kentucky,2012,Geo,0.0
Kentucky,2012,Hydro,2362.0
Kentucky,2012,GD,178209.75
Kentucky,2013,Coal,1940060.0
Kentucky,2013,Geo,0.0
Kentucky,2013,Hydro,3275.0
Kentucky,2013,GD,182696.25
Kentucky,2014,Coal,1869335.0
Kentucky,2014,Geo,0.0
Kentucky,2014,Hydro,3144.0
Kentucky,2014,GD,188518.0
Louisiana,2010,Coal,54346.0
Louisiana,2010,Geo,0.0
Louisiana,2010,Hydro,1109.0
Louisiana,2010,GD,231371.5
Louisiana,2011,Coal,52440.0
Louisiana,2011,Geo,0.0
Louisiana,2011,Hydro,1044.0
Louisiana,2011,GD,236958.25
Louisiana,2012,Coal,53041.0
Louisiana,2012,Geo,0.0
Louisiana,2012,Hydro,680.0
Louisiana,2012,GD,243308.75
Louisiana,2013,Coal,38079.0
Louisiana,2013,Geo,0.0
Louisiana,2013,Hydro,1045.0
Louisiana,2013,GD,238308.25
Louisiana,2014,Coal,35541.0
Louisiana,2014,Geo,0.0
Louisiana,2014,Hydro,1090.0
Louisiana,2014,GD,245790.75
Maine,2010,Coal,0.0
Maine,2010,Geo,0.0
Maine,2010,Hydro,3810.0
Maine,2010,GD,51304.25
Maine,2011,Coal,0.0
Maine,2011,Geo,0.0
Maine,2011,Hydro,3979.0
Maine,2011,GD,51480.75
Maine,2012,Coal,0.0
Maine,2012,Geo,0.0
Maine,2012,Hydro,3733.0
Maine,2012,GD,52606.0
Maine,2013,Coal,0.0
Maine,2013,Geo,0.0
Maine,2013,Hydro,3560.0
Maine,2013,GD,53299.75
Maine,2014,Coal,0.0
Maine,2014,Geo,0.0
Maine,2014,Hydro,3623.0
Maine,2014,GD,55029.0
Maryland,2010,Coal,58798.0
Maryland,2010,Geo,0.0
Maryland,2010,Hydro,1667.0
Maryland,2010,GD,314470.5
Maryland,2011,Coal,65871.0
Maryland,2011,Geo,0.0
Maryland,2011,Hydro,2547.0
Maryland,2011,GD,323942.5
Maryland,2012,Coal,54088.0
Maryland,2012,Geo,0.0
Maryland,2012,Hydro,1657.0
Maryland,2012,GD,331423.75
Maryland,2013,Coal,45290.0
Maryland,2013,Geo,0.0
Maryland,2013,Hydro,1727.0
Maryland,2013,GD,337422.0
Maryland,2014,Coal,46194.0
Maryland,2014,Geo,0.0
Maryland,2014,Hydro,1616.0
Maryland,2014,GD,350262.5
Massachusetts,2010,Coal,0.0
Massachusetts,2010,Geo,0.0
Massachusetts,2010,Hydro,996.0
Massachusetts,2010,GD,399270.25
Massachusetts,2011,Coal,0.0
Massachusetts,2011,Geo,0.0
Massachusetts,2011,Hydro,1149.0
Massachusetts,2011,GD,413672.75
Massachusetts,2012,Coal,0.0
Massachusetts,2012,Geo,0.0
Massachusetts,2012,Hydro,912.0
Massachusetts,2012,GD,432256.25
Massachusetts,2013,Coal,0.0
Massachusetts,2013,Geo,0.0
Massachusetts,2013,Hydro,992.0
Massachusetts,2013,GD,438640.75
Massachusetts,2014,Coal,0.0
Massachusetts,2014,Geo,0.0
Massachusetts,2014,Hydro,902.0
Massachusetts,2014,GD,456273.0
Michigan,2010,Coal,0.0
Michigan,2010,Geo,0.0
Michigan,2010,Hydro,1251.0
Michigan,2010,GD,387167.0
Michigan,2011,Coal,0.0
Michigan,2011,Geo,0.0
Michigan,2011,Hydro,1357.0
Michigan,2011,GD,401359.75
Michigan,2012,Coal,0.0
Michigan,2012,Geo,0.0
Michigan,2012,Hydro,1215.0
Michigan,2012,GD,417328.25
Michigan,2013,Coal,0.0
Michigan,2013,Geo,0.0
Michigan,2013,Hydro,1419.0
Michigan,2013,GD,431111.5
Michigan,2014,Coal,0.0
Michigan,2014,Geo,0.0
Michigan,2014,Hydro,1600.0
Michigan,2014,GD,447221.25
Minnesota,2010,Coal,0.0
Minnesota,2010,Geo,0.0
Minnesota,2010,Hydro,840.0
Minnesota,2010,GD,271481.0
Minnesota,2011,Coal,0.0
Minnesota,2011,Geo,0.0
Minnesota,2011,Hydro,746.0
Minnesota,2011,GD,284490.75
Minnesota,2012,Coal,0.0
Minnesota,2012,Geo,0.0
Minnesota,2012,Hydro,561.0
Minnesota,2012,GD,294728.75
Minnesota,2013,Coal,0.0
Minnesota,2013,Geo,0.0
Minnesota,2013,Hydro,511.0
Minnesota,2013,GD,307215.75
Minnesota,2014,Coal,0.0
Minnesota,2014,Geo,0.0
Minnesota,2014,Hydro,548.0
Minnesota,2014,GD,320381.25
Mississippi,2010,Coal,41586.0
Mississippi,2010,Geo,0.0
Mississippi,2010,Hydro,0.0
Mississippi,2010,GD,94953.5
Mississippi,2011,Coal,28822.0
Mississippi,2011,Geo,0.0
Mississippi,2011,Hydro,0.0
Mississippi,2011,GD,96840.25
Mississippi,2012,Coal,30537.0
Mississippi,2012,Geo,0.0
Mississippi,2012,Hydro,0.0
Mississippi,2012,GD,102082.75
Mississippi,2013,Coal,37197.0
Mississippi,2013,Geo,0.0
Mississippi,2013,Hydro,0.0
Mississippi,2013,GD,103269.75
Mississippi,2014,Coal,39072.0
Mississippi,2014,Geo,0.0
Mississippi,2014,Hydro,0.0
Mississippi,2014,GD,104937.5
Missouri,2010,Coal,9816.0
Missouri,2010,Geo,0.0
Missouri,2010,Hydro,1539.0
Missouri,2010,GD,255631.25
Missouri,2011,Coal,10075.0
Missouri,2011,Geo,0.0
Missouri,2011,Hydro,1185.0
Missouri,2011,GD,256996.0
Missouri,2012,Coal,9197.0
Missouri,2012,Geo,0.0
Missouri,2012,Hydro,714.0
Missouri,2012,GD,265178.25
Missouri,2013,Coal,9101.0
Missouri,2013,Geo,0.0
Missouri,2013,Hydro,1136.0
Missouri,2013,GD,274540.5
Missouri,2014,Coal,8206.0
Missouri,2014,Geo,0.0
Missouri,2014,Hydro,697.0
Missouri,2014,GD,283280.25
Montana,2010,Coal,797035.0
Montana,2010,Geo,0.0
Montana,2010,Hydro,9415.0
Montana,2010,GD,37801.0
Montana,2011,Coal,746650.0
Montana,2011,Geo,0.0
Montana,2011,Hydro,12596.0
Montana,2011,GD,40841.25
Montana,2012,Coal,660148.0
Montana,2012,Geo,0.0
Montana,2012,Hydro,11283.0
Montana,2012,GD,42137.75
Montana,2013,Coal,753246.0
Montana,2013,Geo,0.0
Montana,2013,Hydro,9638.0
Montana,2013,GD,43223.25
Montana,2014,Coal,790673.0
Montana,2014,Geo,0.0
Montana,2014,Hydro,11483.0
Montana,2014,GD,44672.25
Nebraska,2010,Coal,0.0
Nebraska,2010,Geo,0.0
Nebraska,2010,Hydro,1314.0
Nebraska,2010,GD,91498.25
Nebraska,2011,Coal,0.0
Nebraska,2011,Geo,0.0
Nebraska,2011,Hydro,1617.0
Nebraska,2011,GD,99050.25
Nebraska,2012,Coal,0.0
Nebraska,2012,Geo,0.0
Nebraska,2012,Hydro,1257.0
Nebraska,2012,GD,102163.0
Nebraska,2013,Coal,0.0
Nebraska,2013,Geo,0.0
Nebraska,2013,Hydro,1124.0
Nebraska,2013,GD,107187.5
Nebraska,2014,Coal,0.0
Nebraska,2014,Geo,0.0
Nebraska,2014,Hydro,1158.0
Nebraska,2014,GD,110663.25
Nevada,2010,Coal,0.0
