Year,2020,,,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
Iowa,"1,690,871","759,061","897,672","1,566,031","653,669","800,983","59,186","1,582,180","822,544","730,617","1,537,123","828,940","682,379","1,506,908","741,898","751,957","1,315,563","638,517","634,373","29,374","1,234,075","620,258","492,644","105,159","1,354,607","586,353","504,891","253,468","1,225,614","670,557","545,355","1,319,805","605,620","703,088","1,317,661","508,672","676,026","115,633","1,279,306","619,931","632,863","1,225,944","496,206","706,207","1,167,931","476,699","619,106","66,422","1,184,539","733,030","449,148","1,273,810","550,565","722,381",864,"1,234,564","501,858","729,187","3,519","1,268,773","451,513","808,906","1,038,272","522,380","494,018",0,"12,125","1,052,599","499,876","547,267","1,215,430","578,800","632,370","1,142,733","621,756","487,977","1,036,687","598,019","414,433","20,467","1,009,489","379,311","623,570","976,770","160,382","537,458","274,448","895,082","227,921","634,674","16,981","516,944","221,699","280,439","10,976","492,356","185,325","119,805","161,819","16,967","494,769","200,771","275,209","8,287","486,093","149,276","308,158","14,849","530,355","209,265","307,808","521,547","223,741","289,293","443,159","196,367","219,795","20,595","404,135","179,877","211,603","377,201","177,316","197,089","322,668","105,845","183,904","32,327","292,878","112,121","171,326","216,365","71,189","131,566","194,439","74,040","120,399","138,025","49,525","88,500","128,739","55,639","70,302","1,035","1,763","92,310","37,568","45,073","9,669","35,364","17,763","15,856","1,606","22,271","11,238","9,930","1,103",,,,,,,,,,,,,,,,,,,
Kansas,"1,372,303","570,323","771,406","1,197,570","427,005","671,018","55,406","1,156,254","439,908","689,809","1,238,873","514,765","699,655","1,187,756","434,993","736,456","1,072,216","399,276","622,332","36,086","1,074,300","387,659","583,245","92,639","1,157,236","390,434","449,951","312,358","993,044","422,636","554,049","1,021,991","333,149","677,296","979,795","326,150","566,812","68,231","957,845","430,421","502,752","916,095","270,287","619,812","872,783","302,996","478,674","88,921","857,901","464,028","386,579","928,825","363,213","561,474","4,138","866,243","296,317","566,878","3,048","896,166","273,296","616,302","788,819","351,902","423,039",0,"4,603","733,776","287,458","442,096","860,297","364,725","489,169","865,514","464,520","397,727","791,978","424,204","349,498","18,276","713,200","193,003","513,672","662,454","156,319","407,671","98,461","570,318","185,464","369,268","15,511","629,813","314,588","277,658","24,685","365,560","143,663","74,845","120,210","26,779","375,946","161,209","197,216","12,420","328,561","86,174","212,955","15,869","353,766","162,601","185,955","334,547","171,675","159,345","324,905",0,"157,241","163,111","331,149","102,745","182,904","265,848","90,132","154,406","201,236","59,801","121,549","19,851","124,134","37,902","78,324","100,512","32,970","66,805","43,630","13,600","30,027","21,580","3,836","17,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"2,136,768","772,474","1,326,646","1,924,150","628,854","1,202,971","53,752","1,798,048","679,370","1,087,190","1,827,587","751,985","1,048,462","1,796,079","712,733","1,069,439","1,544,187","638,898","872,492","23,192","1,388,708","636,614","623,283","120,396","1,492,900","665,104","617,178","203,944","1,322,517","580,368","734,281","1,370,461","539,589","822,782","1,294,627","616,417","635,274","31,127","1,167,142","615,717","531,852","1,067,499","371,159","676,446","1,055,893","397,541","462,411","193,098","1,046,105","669,659","372,977","1,124,462","521,855","602,607",0,"1,053,805","476,453","572,192","5,160","993,148","495,729","495,029","822,658","466,756","341,210","10,411","1,567","867,921","472,589","392,448","970,163","557,322","410,384","926,206","541,944","369,702","983,063","580,574","394,716","3,853","941,274","381,070","558,734","815,332","374,855","398,966","38,465","918,636","456,497","452,480","6,409","520,075","269,990","241,854","4,734","452,714","219,484","115,510","101,766","11,646","490,719","244,092","235,711","4,093","435,946","217,170","205,457","3,599","468,265","235,126","227,132","445,928","217,894","218,171","340,864","175,461","135,462","23,500","344,868","183,830","155,138","276,481","152,961","118,690","267,104","148,875","106,490","11,506","260,626","160,060","97,568","191,135","99,995","88,766","155,455","115,889","39,566","92,088","64,301","27,787","146,216","25,651","1,364","53,143","66,058","142,058","74,642",0,"67,416","111,643","53,949","57,428",266,"116,865","49,720","67,145",0,"113,237","51,988","61,249",0,"91,104","32,616","58,488","70,090","33,229","36,861",0,0,"79,741","36,292","43,449",0,"70,776","39,308","31,468"
Louisiana,"2,148,062","856,034","1,255,776","2,029,032","780,154","1,178,638","37,978","1,994,065","809,141","1,152,262","1,960,761","782,989","1,148,275","1,943,106","820,299","1,102,169","1,765,656","792,344","927,871","20,473","1,783,959","927,837","712,586","123,293","1,790,017","815,971","733,386","211,478","1,628,202","717,460","883,702","1,706,822","651,586","1,037,299","1,548,591","708,453","792,853","26,345","1,278,439","661,365","587,446","1,051,491","298,142","686,852","1,097,450","309,615","257,535","530,300","896,293","387,068","509,225","807,891","407,339","230,980","169,572","617,544","243,977","329,047","44,520","651,952","345,027","306,925","416,336","136,344","72,657","204,290","3,035","349,383","281,564","67,750","372,305","319,751","52,446","329,778","292,894","36,791","268,804","249,418","18,853",0,"215,833","164,655","51,160","121,951","93,218","24,670",0,"126,396","87,519","38,538",0,"92,982","79,875","6,466",292,"79,248","60,871","3,833","9,283","5,261","75,117","63,568","8,958","2,514","53,908","47,708","5,205",995,"67,906","53,668","14,234","101,046","77,175","22,037","114,889","87,926","26,963",0,"115,891","85,032","30,660","109,399","62,594","46,347","104,462","65,047","38,978",437,"145,823","70,508","75,315","128,692","57,029","71,663","113,488","80,225","33,263",,,,"50,510","7,625",0,"22,681","20,204","42,873","22,164",0,"20,709","35,902","18,647","17,255",0,"33,866","15,379","18,487",0,"26,865","13,782","13,083",0,"18,912","7,616","11,296","7,425","3,842",0,"3,583",0,"6,337","3,908","2,429",0,"8,687","4,605","4,082"
Maine,"819,461","435,072","360,737","747,927","357,735","335,593","38,105","713,180","401,306","292,276","731,163","421,923","295,273","740,752","396,842","330,201","651,817","319,951","286,616","37,127","605,897","312,788","186,378","85,970","679,499","263,420","206,504","206,820","555,035","243,569","307,131","553,144","214,515","336,500","523,011","220,974","238,522","53,327","483,208","232,279","236,320","417,271","160,584","256,458","392,936","217,312","169,254","6,370","381,221","262,264","118,701","421,773","181,159","240,608",6,"351,706","102,468","249,238",0,"351,786","118,806","232,353","264,789","111,916","150,234",0,"1,884","296,400","140,631","155,434","320,840","156,478","163,951","304,240","126,333","168,823","298,444","128,907","166,631","2,489","262,171","81,179","179,923","192,192","41,964","138,440","11,382","197,840","58,961","136,355","2,214","136,314","64,033","69,508","2,177","129,640","51,113","26,545","48,495","2,541","106,336","35,403","66,987","1,758","97,023","27,642","65,432","2,102","105,693","36,822","65,412","118,419","34,587","80,403","116,451","48,049","62,936","2,396","128,253","50,472","73,730","130,491","52,153","72,217","143,903","65,211","74,052","4,409","117,045","49,917","66,300","90,523","29,097","61,426","112,962","42,460","70,502","114,797","46,992","67,805","100,918","29,693","62,811","6,368","2,046","109,689","39,140","67,279","3,270","82,182","41,609","32,543","8,030","87,625","40,195","35,273","12,157","84,933","45,719","34,378","4,836","92,802","46,190","46,612","38,740","22,825","14,803",0,0,"62,153","33,978","27,331",844,"34,789","13,927","20,773"
Maryland,"3,037,030","1,985,023","976,414","2,781,446","1,677,928","943,169","79,605","2,707,327","1,677,844","971,869","2,631,596","1,629,467","959,862","2,386,678","1,334,493","1,024,703","2,025,480","1,145,782","813,797","53,768","1,780,870","966,207","681,530","115,812","1,985,046","988,571","707,094","281,414","1,714,358","826,304","876,167","1,675,873","787,935","879,918","1,540,496","726,161","680,606","119,537","1,432,273","759,612","672,661","1,353,812","505,781","829,305","1,235,039","538,310","517,995","178,734","1,116,457","730,912","385,495","1,055,349","565,808","489,538",3,"932,351","372,613","559,738",0,"902,074","395,337","499,424","596,735","286,521","294,814","2,476","9,983","608,439","315,490","292,949","660,117","384,546","269,534","624,896","389,612","231,435","511,054","314,314","184,184","10,489","528,348","223,626","301,479","358,630","148,072","162,414","47,157","428,443","180,626","236,117","8,876","262,039","138,359","117,347","2,674","231,981","112,674","54,956","57,789","3,996","238,531","115,908","116,513","2,323","224,229","109,446","109,497","2,247","264,434","122,238","136,185","250,249","104,150","136,959","213,275","113,866","92,736",796,"210,941","106,188","99,986","186,019","96,866","85,748","172,221","93,706","78,515",0,"163,759","91,779","71,980","134,447","67,687","66,760","92,795","62,357","30,438","72,892","32,739","40,153","92,502","5,966","2,294","42,482","41,760","86,860","39,123",285,"47,452","75,120","40,022","35,077",21,"72,359","34,528","37,702",129,"68,690","32,706","35,984",0,"62,280","28,752","33,528","48,119","22,267","25,852",0,0,"38,316","19,156","19,160",0,"45,796","22,782","23,014"
Massachusetts,"3,631,402","2,382,202","1,167,202","3,325,046","1,995,196","1,090,893","138,018","3,167,767","1,921,761","1,188,460","3,081,069","1,904,098","1,108,854","2,912,388","1,803,800","1,071,109","2,702,984","1,616,487","878,502","173,564","2,556,785","1,571,763","718,107","227,217","2,773,574","1,318,662","805,049","632,312","2,632,805","1,401,406","1,194,644","2,559,453","1,239,606","1,310,936","2,524,298","1,053,802","1,057,631","382,539","2,547,558","1,429,475","1,030,276","2,458,756","1,332,540","1,112,078","2,331,752","1,469,218","766,844","87,088","2,344,798","1,786,422","549,727","2,469,480","1,487,174","976,750","5,556","2,348,506","948,190","1,393,197","7,119","2,383,398","1,083,525","1,292,325","2,107,146","1,151,788","909,370",0,"38,157","1,960,665","1,035,296","921,350","2,026,993","1,076,522","939,700","1,840,357","942,716","768,613","1,580,114","800,148","736,959","34,305","1,577,823","792,758","775,566","1,129,837","280,831","703,476","141,225","993,718","276,691","681,153","32,267","531,832","247,894","268,784","11,058","488,057","173,408","155,948","142,228","12,616","456,919","155,543","265,966","10,779","445,109","165,746","257,822","13,604","414,804","156,997","238,866","401,568","105,711","278,976","391,028","176,813","202,814","3,210","344,243","151,590","183,892","303,383","122,352","146,724","282,265","111,720","165,198","4,548","259,620","108,777","150,064","192,864","59,195","133,455","195,508","59,103","136,379","175,490","48,745","126,742","169,876","34,370","106,684","6,163","22,331","170,048","39,244","108,172","19,626","127,103","44,569","52,683","28,023","134,748","35,281","61,072","38,333","132,037","53,039","67,062","10,830","126,825","52,355","72,852","74,732","33,486",0,0,"41,201","67,619","13,933","31,963","14,692","39,074","6,012","29,836"
Michigan,"5,547,053","2,804,040","2,649,852","4,824,542","2,268,839","2,279,543","172,136","4,745,316","2,564,569","2,115,256","5,010,606","2,872,579","2,048,639","4,839,252","2,479,183","2,313,746","4,232,711","2,170,418","1,953,139","84,165","3,848,844","1,989,653","1,481,212","336,670","4,274,673","1,871,182","1,554,940","824,813","3,669,163","1,675,783","1,965,486","3,801,658","1,529,638","2,251,571","3,909,725","1,661,532","1,915,225","275,223","3,653,749","1,696,714","1,893,742","3,490,325","1,459,435","1,961,721","3,306,250","1,593,082","1,370,665","331,968","3,203,102","2,136,615","1,060,152","3,318,097","1,687,269","1,620,428","10,400","3,080,468","1,359,898","1,713,647","6,923","2,798,592","1,230,657","1,551,529","2,109,609","1,003,448","1,038,595",0,"46,515","2,205,223","1,106,899","1,084,423","2,085,929","1,032,991","1,039,917","1,805,098","1,016,794","699,733","1,664,765","871,700","739,894","39,205","1,372,082","396,762","965,396","1,160,419","152,359","874,631","122,014","1,048,411","233,450","762,865","28,947","650,973","286,775","339,097","16,120","550,976","150,751","152,244","214,584","23,211","541,830","175,771","335,580","11,586","525,027","135,392","364,957","9,042","544,379","211,685","316,269","545,585","237,166","293,336","466,045","201,624","222,708","19,931","475,356","213,469","236,387","401,186","189,361","192,669","353,079","131,597","185,335","34,895","318,450","141,685","166,901","221,455","78,551","138,758","225,620","97,060","128,560","147,662","68,513","79,149","154,549","64,889","88,450",805,405,"125,561","52,139","71,762","1,660","82,939","41,842","33,860","7,237","65,082","30,742","23,947","10,393","55,751","27,737","24,375","3,639","44,350","21,096","22,933","12,667","7,122","5,545",0,0,,,,,,,
Minnesota,"3,277,171","1,717,077","1,484,065","2,945,233","1,367,825","1,323,232","112,984","2,936,561","1,546,167","1,320,225","2,910,369","1,573,354","1,275,409","2,828,387","1,445,014","1,346,695","2,438,685","1,168,266","1,109,659","126,696","2,192,640","1,120,438","766,476","257,704","2,347,948","1,020,997","747,841","562,506","2,096,790","1,109,471","962,337","2,084,449","1,036,364","1,032,603","2,051,953","954,174","873,241","174,990","1,949,931","1,070,440","819,395","1,741,652","802,346","898,269","1,588,510","857,738","658,643","68,931","1,554,462","991,117","559,624","1,541,887","779,933","757,915","4,039","1,340,005","617,525","719,302","3,178","1,379,483","608,458","763,211","1,212,226","692,966","483,617",0,"27,866","1,125,529","589,864","527,416","1,251,188","644,196","596,274","1,129,975","698,811","350,461","1,002,843","600,806","363,959","25,476","970,976","396,451","560,977","822,146","55,913","420,759","339,192","735,838","142,994","519,421","56,106","387,364","179,152","179,544","20,117","334,219","106,426","64,334","125,856","27,505","331,304","109,401","195,843","14,527","292,860","55,187","216,651","11,692","316,311","112,901","190,461","341,762","139,735","193,503","267,238","100,920","122,823","29,313","263,285","104,385","142,492","190,017","70,065","111,685","150,770","53,315","93,902","3,267","124,075","48,587","72,955","90,919","35,211","55,708","71,818","28,096","43,722","42,422","17,367","25,055","34,737","11,920","22,069",748,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"1,313,686","539,384","756,706","1,211,088","485,131","700,714","14,435","1,285,584","562,949","710,746","1,289,939","554,662","724,597","1,152,365","458,094","684,981","994,926","404,964","573,230","8,126","893,857","394,022","439,838","52,222","981,793","400,258","487,793","85,626","931,527","363,921","557,890","940,192","352,192","581,477","892,620","429,281","441,089","12,036","769,360","381,309","366,846","645,963","126,782","505,125","654,509","150,644","88,516","415,349","409,146","52,618","356,528","298,171","108,362","73,561","116,248","248,149","144,498","60,685","42,966","285,532","172,566","112,966","192,190","19,384","5,043","167,538",225,"180,080","168,479","11,601","175,824","168,267","7,364","162,142","157,333","4,467","146,034","140,168","5,180",686,"151,692","124,539","27,153","112,462","100,474","8,494","3,494","82,492","69,277","11,576","1,639","86,679","80,422","4,253","1,484","64,483","57,324","1,560","3,549","2,050","66,904","60,287","4,363",978,"58,721","53,480","3,280",462,"59,055","51,706","5,707","69,591","63,355","4,819","52,519","40,030","1,398","10,118","115,786","85,451","30,095","120,688","77,653","43,035","117,068","75,750","34,844","5,797","164,776","112,173","52,603","129,457","47,282","82,175",,,,,,,"69,095","3,282",0,"40,768","25,045","59,647","35,456",0,"24,191","44,454","26,896","17,558",0,"52,456","26,545","25,911",0,"45,004","25,846","19,158",0,"36,525","17,010","19,515","20,079","10,297",0,"9,782",0,"5,750","5,750",0,0,"8,344","6,763","1,581"
Missouri,"3,025,962","1,253,014","1,718,736","2,828,266","1,071,068","1,594,511","97,359","2,763,689","1,223,796","1,482,440","2,929,111","1,441,911","1,445,814","2,731,364","1,259,171","1,455,713","2,359,892","1,111,138","1,189,924","38,515","2,158,065","1,025,935","890,016","217,188","2,391,565","1,053,873","811,159","518,741","2,093,228","1,001,619","1,084,953","2,122,771","848,583","1,274,188","2,099,824","931,182","1,074,181","77,920","1,953,600","998,387","927,443","1,852,589","698,531","1,154,058","1,809,502","791,444","811,932","206,126","1,817,879","1,164,344","653,535","1,934,422","972,201","962,221",0,"1,832,562","918,273","914,289",0,"1,892,062","929,830","959,429","1,578,628","917,315","655,039",42,"3,998","1,572,474","807,804","761,524","1,833,729","958,476","871,009","1,828,635","1,111,043","697,891","1,609,894","1,025,406","564,713","16,374","1,500,721","662,562","834,080","1,307,958","572,753","648,486","84,160","1,332,800","574,799","727,162","20,242","786,769","398,032","369,339","14,612","698,566","330,746","207,821","124,375","28,466","715,927","346,574","347,203","15,431","643,861","296,312","321,449","13,009","683,656","351,922","314,092","673,906","363,667","304,940","541,583","268,400","227,646","41,204","521,360","261,943","236,252","441,268","236,023","203,081","397,289","208,600","153,647","35,042","350,610","202,086","145,027","273,059","151,434","119,196","152,488","65,628","86,860","104,346","31,596","72,750","165,563","58,801","17,028","31,362","58,372","106,486","57,964",0,"48,522","68,801","38,817","29,984",0,"72,748","40,077","32,671",0,"72,522","41,322","31,200",0,"52,923","29,969","22,954","18,332","10,995",0,"7,337",0,"5,192","5,192",0,0,"11,654","8,232","3,422"
Montana,"603,674","244,786","343,602","501,822","177,709","279,240","28,037","484,484","201,839","267,928","492,750","232,159","243,882","450,445","173,710","266,063","410,997","137,126","240,178","24,437","407,261","167,922","179,652","55,229","410,611","154,507","144,207","107,225","365,674","168,936","190,412","384,377","146,742","232,450","363,952","118,032","206,814","29,281","328,734","149,259","173,703","317,603","120,197","183,976","274,404","114,117","138,835","20,015","278,628","164,246","113,032","277,579","134,891","141,841",847,"271,171","116,238","154,933",0,"265,037","106,213","157,394","224,278","119,071","96,770",0,"7,313","207,355","112,556","93,163","247,873","145,698","99,579","230,512","159,690","63,598","216,479","127,286","78,078","7,891","194,108","78,578","113,300","174,423","33,805","74,138","66,123","179,006","57,372","109,430",0,"177,679","101,063","66,750","9,564","79,826","27,941","18,512","22,456","10,885","68,822","29,326","32,333","5,855","64,444","21,773","34,932","5,676","63,856","37,311","25,409","53,330","42,628","10,509","44,461","17,690","18,871","7,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"956,383","374,583","556,846","844,232","284,494","495,961","38,946","794,379","302,081","475,064","801,281","333,319","452,979","778,186","254,328","512,814","697,019","231,780","433,862","24,540","677,415","236,761","363,467","71,278","739,283","217,344","344,346","174,687","662,372","259,646","398,447","652,090","187,866","460,054","640,854","166,851","419,937","44,993","607,668","233,692","359,705","576,289","169,991","406,298","536,851","170,784","321,163","44,904","584,154","307,307","276,847","613,095","232,542","380,553",0,"577,137","199,029","378,108",0,"609,660","188,057","421,603","488,940","224,165","264,774",0,0,"563,126","233,246","329,880","615,878","263,677","352,201","608,023","347,445","247,731","570,137","359,082","201,177","9,876","547,144","197,959","345,745","464,173","137,289","218,585","106,701","382,743","119,608","247,498","9,600","287,315","158,827","117,771","7,141","249,483","109,008","54,226","72,681","10,185","266,799","131,099","126,997","3,524","225,732","52,921","138,558","7,412","241,430","114,013","121,835","223,182","115,007","103,064","200,192","24,943","87,213","83,134","202,632","80,552","108,425","134,202","54,391","76,912","87,452","28,523","54,979","3,950","49,328","17,413","31,915","25,932","7,603","18,329","15,291","5,519","9,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"1,405,376","703,486","669,890","1,125,385","539,260","512,058","37,384","1,014,918","531,373","463,567","967,848","533,736","412,827","829,587","397,190","418,690","608,970","279,978","301,575","15,008","464,279","203,974","199,244","43,986","506,318","189,148","175,828","132,580","350,067","132,738","206,040","286,667","91,655","188,770","247,885","66,666","155,017","17,651","201,876","92,479","101,273","181,766","66,016","115,750","154,218","60,598","73,188","20,432","135,433","79,339","56,094","107,267","54,880","52,387",0,"96,689","40,640","56,049",0,"82,190","31,688","50,502","62,117","31,291","29,357",0,"1,469","54,234","29,623","24,611","53,174","31,945","21,229","43,848","31,925","11,923","41,430","28,756","12,674",0,"32,417","14,090","18,327","26,921","5,909","11,243","9,769","27,194","9,851","15,479","1,864","33,316","17,776","12,127","3,065","20,115","7,986","3,196","5,620","3,313","24,526","11,212","10,775","2,103","12,115","3,982","6,864",925,"10,196","6,347","3,849","10,314","8,376","1,938","10,878",714,"2,811","7,264","12,278","5,149","7,088","12,797","5,578","7,193","18,345","9,613","8,732",0,"19,691","9,308","10,383","14,649","6,236","8,413","11,698","5,218","6,480","16,420","6,594","9,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"806,182","424,921","365,654","744,296","348,526","345,790","30,777","710,972","369,561","329,918","710,970","384,826","316,534","677,738","340,511","331,237","569,081","266,348","273,559","22,198","499,175","246,214","196,532","48,390","537,945","209,040","202,484","121,337","450,525","163,696","281,537","388,954","120,395","267,051","383,999","108,864","221,705","49,693","339,618","147,635","185,935","334,059","116,435","213,724","297,299","130,589","154,903","11,173","288,093","184,064","104,029","295,761","137,772","157,989",0,"266,994","90,364","176,519",111,"272,950","106,663","166,287","231,440","107,995","121,299",7,"1,970","229,627","119,663","109,916","235,419","125,292","110,127","218,114","108,460","104,642","205,520","100,680","103,629",947,"196,757","80,715","115,404","164,769","57,201","98,575","8,993","159,092","62,662","95,196","1,234","89,127","43,781","43,725","1,318","87,961","34,724","32,927","17,794","1,981","89,600","33,655","53,149","1,299","90,161","34,074","54,163","1,090","92,364","35,489","54,799","83,670","21,650","57,444","89,329","42,081","45,658",293,"90,835","43,456","45,728","84,586","39,198","43,254","86,361","40,797","44,856",528,"80,141","38,510","41,540","68,906","31,425","37,168","68,304","30,575","37,718","69,630","33,034","36,596","65,943","25,887","37,519","2,125",412,"69,774","31,891","37,473",410,"50,535","28,503","15,486","6,546","50,104","27,763","14,781","7,560","49,187","27,160","17,866","4,161","59,956","32,774","26,310","24,925","18,697","6,228",0,0,"43,793","24,855","18,938",0,"44,035","20,212","23,823"
New Jersey,"4,564,216","2,608,335","1,883,274","3,906,723","2,148,278","1,601,933","72,477","3,651,140","2,126,610","1,478,749","3,877,407","2,215,422","1,613,207","3,612,137","1,911,430","1,670,003","3,187,226","1,788,850","1,284,173","94,554","3,075,807","1,652,329","1,103,078","262,134","3,343,594","1,436,206","1,356,865","521,829","3,099,553","1,320,352","1,743,192","3,217,862","1,261,323","1,933,630","2,975,684","1,147,364","1,546,557","234,632","3,014,472","1,444,653","1,509,688","2,997,229","1,102,211","1,845,502","2,875,395","1,264,206","1,325,467","262,187","2,846,770","1,867,671","963,843","2,773,111","1,385,415","1,363,324","24,372","2,484,312","850,337","1,606,942","27,033","2,419,554","1,015,902","1,374,613","1,949,555","895,455","981,124",0,"42,683","1,963,761","987,874","961,335","1,972,552","1,016,808","945,475","1,820,437","1,083,850","720,322","1,630,063","806,630","775,684","42,998","1,549,381","616,517","926,050","1,086,079","297,743","675,162","108,901","903,943","256,887","611,541","27,141","494,442","211,018","268,982","10,405","432,739","178,289","88,835","145,410","15,948","467,111","182,522","265,298","10,249","432,547","164,566","245,164","9,587","401,050","164,808","221,707","371,211","133,695","221,535","337,623","171,066","156,101",985,"303,801","151,508","144,360","260,921","127,798","123,440","245,928","122,565","120,555","2,617","220,193","115,962","103,517","168,112","76,456","91,656","163,132","83,001","80,131","128,747","68,024","60,723","121,215","62,869","58,346",0,0,"99,396","46,943","28,338","24,115","83,220","44,305","38,556",359,"77,735","36,901","40,015",819,"75,944","37,495","38,318",131,"64,454","31,034","33,351","51,729","25,592","26,137",0,0,"47,760","23,826","23,466",468,"45,570","21,809","23,753"
New Mexico,"923,965","501,614","401,894","798,319","385,234","319,667","74,541","783,757","415,335","335,788","830,158","472,422","346,832","756,304","370,942","376,930","598,605","286,783","286,417","21,251","556,074","273,495","232,751","32,257","569,986","261,617","212,824","91,895","521,287","244,497","270,341","514,370","201,769","307,101","456,237","167,826","250,779","29,459","416,590","201,148","211,419","385,931","141,084","235,606","327,281","130,081","169,692","25,737","327,615","194,017","131,838","311,107","156,027","153,733","1,347","253,926","106,098","146,788","1,040","238,608","105,661","132,170","187,063","105,464","80,303",0,"1,037","152,225","81,389","70,688","183,258","103,699","79,315","169,136","106,037","61,727","151,606","95,089","54,217","1,776","118,014","48,211","69,645","112,830","48,542","54,745","9,543","105,406","46,668","57,634",0,"66,787","33,527","31,152","1,996","49,376","20,437","17,733","8,347","2,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
